name,image_url,style_tags,colors,occasion,season,body_type,skin_tone,description,trending_score
Elegant Evening,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=600&q=80,elegant;chic;formal;romantic,black;gold;white,evening;formal,all-season,all,all,Sophisticated evening wear with flowing silhouette and elegant accessories. Perfect for galas and formal dinners.,0.95
Smart Casual,https://images.unsplash.com/photo-1552062407-c551eeda4921?w=600&q=80,casual;smart;modern;classic,navy;white;khaki;beige,casual;business,all-season,all,all,The perfect blend of comfort and style. Great for day-to-night plans and social gatherings.,0.88
Beach Resort,https://images.unsplash.com/photo-1517635676447-30ab6d67d25b?w=600&q=80,vacation;relaxed;breeze;casual;fun,blue;white;pastel;coral,vacation;casual,summer,all,all,Lightweight and breathable pieces in soft colours. Effortlessly chic for sunny weather and beach days.,0.91
Business Power Look,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=600&q=80,business;professional;smart;formal;bold,navy;black;white;charcoal,business;formal,all-season,all,all,A commanding office look that exudes confidence and professionalism. Sharp tailoring with modern touches.,0.85
Quiet Luxury,https://images.unsplash.com/photo-1539533057592-4d14fc9d4a91?w=600&q=80,elegant;minimal;chic;classic;modern,cream;beige;camel;ivory;white,casual;business;evening,all-season,all,all,Understated elegance with premium minimalist pieces. The art of looking expensive without trying.,0.96
Coastal Grandmother,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04?w=600&q=80,casual;relaxed;trendy;breeze;classic,blue;white;sand;linen;sky,casual;vacation,summer;spring,all,all,Effortless coastal vibes with relaxed linen and breezy silhouettes. A timeless summer aesthetic.,0.89
Dark Academia,https://images.unsplash.com/photo-1434598747652-e7ad8d3b3b5f?w=600&q=80,classic;smart;vintage;dark;edgy;bold,black;brown;burgundy;forest green;camel,casual;business,fall;winter,all,all,Moody literary-inspired fashion. Dark tones meet structured layers for an intellectual aesthetic.,0.83
Athleisure Edit,https://images.unsplash.com/photo-1506629082632-401d5d59a368?w=600&q=80,casual;sporty;modern;trendy;fun,black;white;grey;neon;olive,casual;active,all-season,all,all,Activewear elevated with style. Comfortable enough for the gym, polished enough for everywhere else.,0.86
Date Night Look,https://images.unsplash.com/photo-1564598958223-4fbf27fef26f?w=600&q=80,elegant;romantic;chic;feminine;bold,red;black;gold;burgundy;rose,evening;casual,all-season,all,all,Romantic and effortlessly chic. Turn heads on any evening out with this confident eye-catching look.,0.90
Minimalist Chic,https://images.unsplash.com/photo-1559831243-641fa84f62f0?w=600&q=80,minimal;chic;modern;clean;elegant,white;black;grey;stone;off-white,casual;business,all-season,all,all,Less is more. Clean lines, neutral tones, and perfectly chosen basics create a timeless polished look.,0.82
Bohemian Vibes,https://images.unsplash.com/photo-1564379588828-fcd236b03c32?w=600&q=80,bohemian;casual;relaxed;vintage;fun;trendy,earthy;rust;sage;cream;terracotta,casual;vacation,spring;summer,all,all,Free-spirited layers, earthy tones, and flowing fabrics. A carefree artistic style for the adventurous soul.,0.80
Office Chic,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=600&q=80,business;chic;smart;elegant;professional;modern,grey;white;navy;blush;camel,business;formal,all-season,all,all,Polished feminine and professional. Combines structure with softness for the modern workplace.,0.87
Summer Sundress,https://images.unsplash.com/photo-1595853646649-bca3b0b04199?w=600&q=80,casual;fun;breeze;feminine;romantic;vacation,pastel;floral;white;yellow;sky blue,casual;vacation,summer;spring,all,all,Light breezy and effortlessly pretty. The ultimate warm-weather dress for sunshine and good vibes.,0.79
Edgy Street Style,https://images.unsplash.com/photo-1489824904134-891ab64532f1?w=600&q=80,edgy;bold;trendy;casual;dark;modern,black;grey;white;silver;red,casual;evening,all-season,all,all,Rebellious edge meets urban cool. Statement pieces and attitude make this look unforgettable.,0.75
Preppy Classic,https://images.unsplash.com/photo-1518520113411-fbce202b1cb0?w=600&q=80,preppy;classic;smart;clean;casual,navy;white;red;green;pastel,casual;business,all-season,all,all,Timeless Ivy League energy. Crisp clean and always put-together with a collegiate twist.,0.77
Festival Fit,https://images.unsplash.com/photo-1571844307880-751a962ff3ae?w=600&q=80,bold;fun;trendy;bohemian;casual;feminine,multicolor;bright;gold;neon;pastels,casual;vacation,summer;spring,all,all,Vibrant expressive and full of personality. Made for music festivals and carefree summer moments.,0.73
Winter Warmth,https://images.unsplash.com/photo-1515886820788-68e8f7b5b4a1?w=600&q=80,classic;elegant;cozy;minimal,camel;cream;brown;burgundy;white,casual;business,winter;fall,all,all,Cosy and chic winter layers combining warmth with impeccable style. Perfect for cold-weather dressing.,0.84
Spring Florals,https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=600&q=80,feminine;romantic;fun;casual;breeze,pink;floral;white;lavender;mint,casual;vacation,spring,all,all,Fresh floral prints and soft pastels capture the joy of spring. Light and effortlessly feminine.,0.81
Corporate Power,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=600&q=80,professional;business;bold;modern;elegant,black;white;red;charcoal,business;formal,all-season,all,all,A powerful corporate look radiating authority and modern sophistication. Built for the boardroom.,0.88
Romantic Lace,https://images.unsplash.com/photo-1582618946827-a5797c4c86d1?w=600&q=80,feminine;romantic;elegant;chic,pink;white;lace;ivory;blush,evening;casual,spring;summer,all,all,Delicate lace details and soft tones create an undeniably romantic look for special moments.,0.80
City Explorer,https://images.unsplash.com/photo-1483985988355-763728e1935b?w=600&q=80,casual;modern;trendy;smart;urban,black;white;denim;grey,casual;business,all-season,all,all,Urban-ready style for the city on the go. Functional meets fashionable in this versatile look.,0.85
Garden Party,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=600&q=80,feminine;romantic;fun;elegant;breeze,floral;pastel;yellow;green;coral,casual;evening,spring;summer,all,all,Whimsical garden-party style with flowing fabrics and cheerful prints. Bright and effortlessly pretty.,0.78
Monochrome Magic,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=600&q=80,minimal;chic;modern;bold;elegant,all-black;charcoal;all-white;all-cream,casual;business;evening,all-season,all,all,Head-to-toe monochrome delivers maximum impact with minimum effort. Sleek and endlessly elegant.,0.86
Sporty Chic,https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=600&q=80,sporty;modern;casual;trendy;bold,white;black;neon;grey;olive,casual;active,all-season,all,all,Where athletic meets elevated. Sporty silhouettes with polished touches for a lifestyle-ready look.,0.79
Vintage Glamour,https://images.unsplash.com/photo-1483389127117-b6a2102724ae?w=600&q=80,vintage;elegant;romantic;classic;feminine,burgundy;cream;brown;gold;black,evening;casual,fall;winter,all,all,Old Hollywood glamour reimagined for the modern woman. Timeless vintage silhouettes with a luxe touch.,0.83
Power Blazer,https://images.unsplash.com/photo-1487222477894-8943e31ef7b2?w=600&q=80,business;bold;smart;professional;modern,camel;navy;white;grey;black,business;formal,all-season,all,all,The statement blazer elevated. A confident power look that transitions seamlessly from desk to dinner.,0.87
Tropical Escape,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?w=600&q=80,vacation;fun;bold;trendy;breeze,tropical;white;bright;multicolor;coral,vacation;casual,summer,all,all,Bold tropical prints and breezy silhouettes for your most stylish holiday yet.,0.76
Elevated Basics,https://images.unsplash.com/photo-1432462770865-65b70566d673?w=600&q=80,minimal;clean;casual;smart;modern,white;navy;beige;grey;black,casual;business,all-season,all,all,The art of the perfect basic. Elevated essentials styled with intention for an effortless everyday look.,0.82
Cocktail Hour,https://images.unsplash.com/photo-1571513800374-df1bbe650e56?w=600&q=80,elegant;chic;feminine;romantic;formal,black;gold;silver;burgundy;jewel tones,evening;formal,all-season,all,all,Dressed to impress for cocktail hour. Sophisticated and glamorous with a modern edge.,0.91
Casual Friday,https://images.unsplash.com/photo-1511085896613-7e4e6f0a7c1b?w=600&q=80,casual;smart;modern;relaxed;fun,denim;white;grey;olive;camel,casual;business,all-season,all,all,The best of both worlds — business casual done right for a relaxed Friday vibe.,0.80
Evening Gown,https://images.unsplash.com/photo-1566479353521-030d6e27f432?w=600&q=80,elegant;formal;chic;romantic;classic,black;navy;emerald;burgundy;gold,evening;formal,all-season,all,all,Floor-length elegance for the most special occasions. Timeless gown silhouettes with modern styling.,0.94
Streetwear Edit,https://images.unsplash.com/photo-1523398002811-999ca8dec234?w=600&q=80,casual;trendy;bold;edgy;modern,black;white;grey;red;neon,casual,all-season,all,all,Fresh off the streets with this curated streetwear look. Hype meets style in the perfect urban outfit.,0.74
Autumn Layers,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?w=600&q=80,classic;cozy;elegant;casual;vintage,rust;camel;brown;olive;cream,casual;business,fall,all,all,Perfectly layered autumn dressing. Rich tones and cosy textures make this the ultimate fall outfit.,0.85
Wedding Guest,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=600&q=80,feminine;elegant;chic;romantic;classic,blush;champagne;sage;ivory;blue,evening;casual,spring;summer,all,all,The ideal wedding guest look — elegant and beautiful without upstaging the couple.,0.88
Smart Blazer Set,https://images.unsplash.com/photo-1548142813-c348350df52b?w=600&q=80,business;smart;modern;chic;professional,grey;white;black;camel;blue,business;formal,all-season,all,all,The co-ord blazer set that does it all. Sharp tailored and effortlessly modern for any professional setting.,0.86
Summer Party,https://images.unsplash.com/photo-1502716119720-b23a93e5fe1b?w=600&q=80,fun;trendy;bold;casual;feminine,multicolor;white;pink;yellow;coral,casual;vacation,summer,all,all,Bright bold and party-ready. This vibrant summer look is made for dancing and making memories.,0.77
New Year Glam,https://images.unsplash.com/photo-1574365569389-a10d488ca3fb?w=600&q=80,elegant;bold;chic;formal;glam,gold;silver;black;champagne;sparkle,evening;formal,all-season,all,all,Shimmer and shine for New Year festivities. Glamorous sequins and metallic tones for a show-stopping entrance.,0.93
Casual Luxe,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=600&q=80,casual;elegant;modern;minimal;chic,cream;beige;white;camel;gold,casual;business,all-season,all,all,Casual luxury at its finest. Premium fabrics and understated details for an effortlessly elevated look.,0.89
Rainy Day Chic,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?w=600&q=80,casual;classic;cozy;smart;minimal,grey;black;navy;beige;brown,casual,fall;winter,all,all,Stay stylish even on grey days. This cosy yet polished look is perfect for unpredictable weather.,0.78
Red Carpet Ready,https://images.unsplash.com/photo-1566479353521-030d6e27f432?w=600&q=80,elegant;bold;glamorous;formal;chic,red;black;gold;emerald;royal blue,evening;formal,all-season,all,all,Dress like you are walking the red carpet. Dramatic silhouettes and luxe fabrics for your biggest moments.,0.92
